cell_id,vitmae_leiden_macs,Has_DE_Genes
aefdacdl-1,13,True
aefhgbih-1,14,False
aefhkked-1,3,False
aeflhncd-1,4,True
aeflookf-1,3,False
aefmaahb-1,3,False
aefmcbil-1,3,False
aefnjhhd-1,3,False
aefnkolk-1,3,False
aefojcmc-1,3,False
aefpelcf-1,3,False
aefpjnek-1,3,False
aefpjoko-1,3,False
aefplcih-1,13,True
aefppfph-1,3,False
aeganlhm-1,3,False
aegbbfoe-1,13,True
aegddpmh-1,4,True
aegdehhc-1,5,False
aegfbgej-1,10,True
aegfecfl-1,3,False
aegfjnog-1,10,True
aegfnjhm-1,3,False
aegfpako-1,3,False
aeggapdk-1,3,False
aeggbogf-1,3,False
aeggdkif-1,3,False
aegggela-1,10,True
aegghghl-1,3,False
aeggimjl-1,4,True
aegglloa-1,3,False
aeggonon-1,3,False
aeghdhee-1,3,False
aeghfjha-1,4,True
aeghiahn-1,3,False
aeghoanh-1,3,False
aegiaale-1,3,False
aegiifim-1,3,False
aegiinlk-1,3,False
aegjaokb-1,13,True
aegmpnla-1,13,True
aegpedhf-1,3,False
aegpeffn-1,3,False
aegpfcfc-1,3,False
aegpfhdi-1,4,True
aegpgfgd-1,4,True
aehadgpk-1,3,False
aehadmfc-1,4,True
aehaeghf-1,4,True
aehalgee-1,3,False
aehalnin-1,4,True
aehaoflj-1,3,False
aehbblfo-1,13,True
aehbfnnm-1,10,True
aehdbphg-1,3,False
aehediog-1,13,True
aehfhobb-1,3,False
aehfjpbh-1,3,False
aehgimhd-1,13,True
aehgkead-1,12,True
aehgmmgp-1,13,True
aehhghcm-1,13,True
aehmoelp-1,10,True
aehnonbi-1,10,True
aehpjpdo-1,13,True
aeiajcph-1,13,True
aeieikko-1,13,True
aeigmjak-1,13,True
aeihdlki-1,10,True
aeijdngj-1,10,True
aeiknchc-1,13,True
aeilckdh-1,13,True
aeildalf-1,13,True
aeildlpj-1,13,True
aeimcpac-1,13,True
aeimlgcf-1,13,True
aejdokfi-1,13,True
aejeoaaj-1,13,True
aejeoajp-1,13,True
aejfoekp-1,13,True
aejjellg-1,10,True
aejllaom-1,8,True
aejmnmnc-1,10,True
aejpholh-1,10,True
aekhicdk-1,10,True
aeklfbkm-1,13,True
aekmhecn-1,13,True
aemedcjb-1,13,True
aemljbaa-1,13,True
aemllhbi-1,13,True
aemolgma-1,10,True
aemonhmb-1,13,True
aemphnff-1,10,True
aeohajlp-1,10,True
aeoopbki-1,13,True
afagmcjn-1,3,False
afaknkhd-1,13,True
afandmmd-1,10,True
afanlnpk-1,13,True
afbapbhe-1,10,True
afbiadce-1,13,True
afegbkgh-1,10,True
afeneehl-1,13,True
affalahi-1,10,True
affcnoaa-1,13,True
affekgep-1,6,False
afffamim-1,13,True
affkibop-1,13,True
afgikohb-1,13,True
afhiknoi-1,13,True
afhjhmie-1,13,True
afidmdba-1,13,True
afigdbhi-1,10,True
afihkbin-1,13,True
afijjeil-1,13,True
afjkobcb-1,6,False
afjldfbd-1,13,True
afpknlmc-1,10,True
agafepin-1,10,True
agbapgmd-1,13,True
agbdagac-1,10,True
agbgbokp-1,10,True
agbhbiid-1,13,True
agbhkdci-1,13,True
agblifbd-1,10,True
agboiehi-1,13,True
agbomocb-1,13,True
agdbibdg-1,10,True
agdjabnl-1,13,True
ageaoeko-1,13,True
agefeeji-1,13,True
aghapoii-1,13,True
aghkhldc-1,10,True
agifinpm-1,10,True
agjbflem-1,10,True
agjkfhfp-1,10,True
aglbikop-1,10,True
agoapjnn-1,13,True
agojembd-1,10,True
agpiaaoi-1,10,True
agpijbdj-1,13,True
agpmfijf-1,13,True
agpmjgbm-1,13,True
agpmmkjd-1,13,True
agpokdnk-1,13,True
ahaifbdl-1,13,True
ahalbohi-1,13,True
ahbeemaf-1,13,True
ahfbkjgn-1,13,True
ahfifdam-1,13,True
ahfiplci-1,13,True
ahfmookm-1,13,True
ahidjcdf-1,13,True
ahienkni-1,13,True
ahioaign-1,3,False
ahioeinc-1,13,True
ahkhjdfi-1,10,True
ahklenjo-1,13,True
ahliejdo-1,13,True
ahlmoepd-1,13,True
ahmiiiin-1,13,True
ahmilipp-1,5,False
ahoklijm-1,13,True
ahpenjcb-1,13,True
ahphfclb-1,10,True
ahphgbdd-1,10,True
ahpifabg-1,13,True
ahplfpdo-1,13,True
ahpmhgpg-1,13,True
aibcjodk-1,13,True
aibmpmlb-1,13,True
aicepamk-1,10,True
aicopegd-1,8,True
aielkojc-1,13,True
aieojnlg-1,13,True
aigfjhfh-1,13,True
aigkpepm-1,10,True
aiglgdbh-1,13,True
aigmgjmh-1,10,True
aignbmed-1,13,True
aigohblo-1,13,True
aihbmbag-1,13,True
aihicamc-1,13,True
aihjnabn-1,10,True
aihphaeb-1,10,True
aiimejhg-1,13,True
aiimmjem-1,13,True
aijbcnnn-1,10,True
aijepbfl-1,13,True
aijfaaee-1,10,True
aijgbjai-1,13,True
aijgheel-1,13,True
aijgkfhp-1,13,True
aijkjicc-1,13,True
aijnhidn-1,13,True
aikcgfff-1,13,True
aikdbcao-1,10,True
ailkbcme-1,13,True
aimddnmo-1,10,True
aimhhahd-1,13,True
aimilhfj-1,13,True
aimipdmk-1,10,True
aimkfhjd-1,13,True
aiofbkhf-1,13,True
aipcbgdk-1,13,True
aipeagog-1,13,True
aipgpjke-1,10,True
ajahaibe-1,13,True
ajapefmm-1,13,True
ajapojne-1,13,True
ajblboah-1,13,True
ajbpkcdo-1,10,True
ajeaahgp-1,10,True
ajeahokg-1,10,True
ajeapnnd-1,10,True
ajegmboh-1,6,False
ajellbeh-1,13,True
ajemhaak-1,10,True
ajenleal-1,10,True
ajeoblgm-1,13,True
ajfbjeld-1,13,True
ajffgfbd-1,13,True
ajfjaacj-1,6,False
ajfmmfhb-1,13,True
ajfndcba-1,6,False
ajganljo-1,13,True
ajgbenmp-1,13,True
ajgbhnfb-1,10,True
ajgfmkjj-1,13,True
ajggfjpk-1,10,True
ajgiogea-1,10,True
ajgjifhl-1,10,True
ajgkiflc-1,10,True
ajgkjamf-1,10,True
ajhakbgh-1,13,True
ajhimjbi-1,13,True
ajhjgjbd-1,13,True
ajholbko-1,13,True
ajjndhgo-1,10,True
ajkehagn-1,10,True
ajkmamlc-1,13,True
ajlbecae-1,10,True
ajlednch-1,10,True
ajlhekja-1,10,True
ajljhcce-1,2,False
ajlkljhl-1,13,True
ajlmanhd-1,10,True
ajlmbkkc-1,13,True
ajlnhpmb-1,10,True
ajmiigci-1,13,True
ajmlhpeo-1,10,True
ajmpaelm-1,13,True
ajnohhgb-1,10,True
ajoandoi-1,10,True
ajoglhgo-1,13,True
ajoibcnk-1,10,True
ajomphcj-1,13,True
ajonldon-1,10,True
ajopefco-1,13,True
ajopghcj-1,13,True
ajpgohli-1,10,True
ajpgoilf-1,13,True
