gene,mean_within,mean_outside,t_stat,t_pval,u_stat,u_pval,region,sig_ttest,qval_ttest,sig_ttest_FDR,p_bonf,sig_ttest_bonf,sig_mw,qval_mw,sig_mw_FDR,p_bonf_mw,sig_mw_bonf
TCL1A,0.7261578,0.48050526,17.648096935336323,1.2486866703218997e-67,36646081.5,3.945139593337696e-69,GC_region,True,1.9978986725150396e-67,True,9.989493362575198e-67,True,True,6.312223349340313e-69,True,3.1561116746701567e-68,True
BCL6,0.27792013,0.1691313,17.902774671998046,2.2373636450469847e-69,37387046.5,3.2226585144693565e-90,GC_region,True,4.4747272900939693e-69,True,1.7898909160375877e-68,True,True,6.445317028938713e-90,True,2.5781268115754852e-89,True
ICOS,0.07656909,0.06134346,5.9206075828526386,3.4265259208045926e-09,32065254.5,0.00047562962384632365,GC_region,True,3.916029623776677e-09,True,2.741220736643674e-08,True,True,0.0005435767129672271,True,0.003805036990770589,True
MS4A1,1.6815112,1.1273435,21.46849725043019,4.626100176074589e-98,37564807.0,1.8649868824505907e-92,GC_region,True,1.2336267136198902e-97,True,3.700880140859671e-97,True,True,4.973298353201575e-92,True,1.4919895059604726e-91,True
CR2,0.14258818,0.07760033,17.62375091993513,2.5279364809420088e-67,36265024.0,3.649372592267065e-67,GC_region,True,3.370581974589345e-67,True,2.022349184753607e-66,True,True,4.865830123022753e-67,True,2.919498073813652e-66,True
ACTB,3.002122,2.9839458,1.1232417720424528,0.26138496541834144,31784175.0,0.016351396209185635,GC_region,False,0.26138496541834144,False,1.0,False,True,0.016351396209185635,True,0.13081116967348508,False
CD2,0.41703308,0.2247823,33.4098542397432,4.777649479162658e-238,66773328.0,4.378728305800105e-250,TCell_rich_region,True,1.9110597916650633e-237,True,3.8221195833301265e-237,True,True,3.502982644640084e-249,True,3.502982644640084e-249,True
CD3G,0.545412,0.279093,33.766746088754445,4.278829591972491e-243,66733646.5,1.4338570308070085e-249,TCell_rich_region,True,3.4230636735779926e-242,True,3.4230636735779926e-242,True,True,5.735428123228034e-249,True,1.1470856246456068e-248,True
