cell_id,vitmae_leiden_macs
mmmnkmnf-1,2
mnaimiap-1,6
mnnfedco-1,4
mohabcoa-1,3
mpofelnm-1,3
nabgmlgh-1,2
nacbmgaj-1,4
naglojfh-1,3
nbpkpann-1,2
ncheedpc-1,2
nchodaie-1,2
ncmhhehe-1,3
neiollmj-1,1
nekbdfli-1,2
nekmmdpi-1,4
neldnblb-1,4
nenlkodm-1,4
nepbfhoa-1,3
nepldike-1,4
nfbkpmde-1,4
nfcbdadb-1,4
nfcloejk-1,2
nfiefohb-1,4
nghkkkje-1,3
ngknppnk-1,3
ngolmmhf-1,4
nhdhbipb-1,5
nheeklbc-1,3
nhemanmk-1,3
nhhpbfng-1,3
nhlieggf-1,3
njifikgl-1,2
nkhflmck-1,4
nkhpohmc-1,3
nmajpohl-1,3
nmejofmj-1,3
nmnineel-1,4
nnafnlma-1,4
nnekcnli-1,3
nnkpomdb-1,2
npcbgaog-1,4
nphkimpo-1,3
nppcmmpk-1,4
ocaogaek-1,3
ocbamgca-1,4
ocjefphe-1,4
ocngclle-1,3
oelekiom-1,4
oginnhbp-1,8
ogkiobha-1,8
ogngjdco-1,1
ohknedol-1,3
